Model,DICE_Mean,DICE_Std,Sensitivity,Specificity,IoU
Baseline (No Augmentation),0.8558812748837374,0.06666505169962074,0.8679510541694703,0.9985409289852966,0.7537821634923267
Aug0.5 (70 real + 35 synthetic),0.8386747155642189,0.06396421444594819,0.8913891309934182,0.9979623781461288,0.7272785936476773
Aug1.0 (70 real + 70 synthetic),0.8454210685570541,0.07625884907384908,0.8088847562195014,0.99901487684733,0.739562747337508
Aug2.0 (70 real + 140 synthetic),0.835555688907836,0.08280256287956204,0.7824855130646662,0.9992391297963814,0.7258783324362651
